Name,Alias,IATA,ICAO,call_sign,Country,Active,child_price_rate,
Air ALM,\N,,ALM,ANTILLEAN,Netherlands Antilles,N,0.3,
Air Lincoln,\N,,ALN,CHICAGO LINCOLN,United States,N,0.3,
America West Airlines,\N,HP,AWE,CACTUS,United States,Y,0.3,
Air Wisconsin,\N,ZW,AWI,AIR WISCONSIN,United States,Y,0.3,
Aerotransporte de Carga Union,\N,,TNO,AEROUNION,Mexico,N,0.3,
Aero Taxis Cessna,\N,,TND,TAXIS CESSNA,Mexico,N,0.3,
Arizona Express Airlines,\N,,TMP,TEMPE,United States,N,0.3,
Tatarstan Airlines,\N,U9,TAK,TATARSTAN,Russia,Y,0.3,
Allegheny Commuter Airlines,\N,,ALO,ALLEGHENY,United States,Y,0.3,
Alpliner AG,\N,,ALP,ALPINER,Switzerland,N,0.3,
Altair Aviation (1986),\N,,ALQ,ALTAIR,Canada,N,0.3,
Air Luxor STP,\N,,ALU,LUXORJET,Sao Tome and Principe,N,0.3,
Alas de Venezuela,\N,,ALV,ALVEN,Venezuela,N,0.3,
Alas Nacionales,\N,,ALW, S.A.,ALNACIONAL,N,0.3,
Alyeska Air Service,\N,,ALY,ALYESKA,United States,N,0.3,
Alta Flights (Charters) Ltd.,\N,,ALZ, ,Canada,N,0.3,
Air Sunshine,\N,,RSI,AIR SUNSHINE,United States,Y,0.3,
ATMA,\N,,AMA,ADIK,Kazakhstan,N,0.3,
Aerolineas Medellin,\N,,AMD,AEROLINEAS MEDELLIN,Colombia,N,0.3,
Ameriflight,\N,,AMF,AMFLIGHT,United States,N,0.3,
Air Libert,\N,VD,,,France,Y,0.3,
Air Lithuania,\N,TT,KLA,KAUNAS,Lithuania,N,0.3,
Air Minas Linhas A,\N,,AMG,AIR MINAS,Brazil,N,0.3,
Alan Mann Helicopters Ltd.,\N,,AMH,MANN,United Kingdom,N,0.3,
Air Maldives,\N,,AMI,AIR MALDIVES,Maldives,N,0.3,
Aviation Amos,\N,,AMJ,AVIATION AMOS,Canada,N,0.3,
Amerer Air,\N,,AMK,AMER AIR,Austria,N,0.3,
Air Malawi,\N,QM,AML,MALAWI,Malawi,Y,0.3,
Aeroputul International Marculesti,\N,,AMM,AEROM,Moldova,N,0.3,
Air Montenegro,\N,,AMN,MONTENEGRO,Montenegro,N,0.3,
Air Montreal (Air Holdings Inc.),\N,,AMO,AIR MONTREAL,Canada,N,0.3,
Aero Transporte S.A. (ATSA),\N,,AMP,ATSA,Peru,N,0.3,
Aeromedicare Ltd.,\N,,AMQ,LIFELINE,United Kingdom,N,0.3,
Air Sicilia,\N,BM,,,Italy,Y,0.3,
Air Specialties Corporation,\N,,AMR,AIR AM,United States,N,0.3,
Air Muskoka,\N,,AMS,AIR MUSKOKA,Canada,N,0.3,
ATA Airlines,\N,,AMT,AMTRAN,United States,Y,0.3,
Air Macau,\N,NX,AMU,AIR MACAO,Macao,Y,0.3,
AMC Airlines,\N,,AMV,,Egypt,Y,0.3,
Air Midwest,\N,ZV,AMW,AIR MIDWEST,United States,N,0.3,
Air Seychelles,\N,HM,SEY,SEYCHELLES,Seychelles,Y,0.3,
