name,alias,iata,icao,call_sign,country,active,active_2,child_price_rate,
Air Sofia,\N,,SFB,AIR SOFIA,Bulgaria,false,N,0.3,
AeroMéxico,\N,AM,AMX,AEROMEXICO,Mexico,true,Y,0.3,
Air Ambar,\N,,AMY,AIR AMBAR,Dominican Republic,false,N,0.3,
Amiya Airline,\N,,AMZ,AMIYA AIR,Nigeria,false,N,0.3,
All Nippon Airways,ANA All Nippon Airways,NH,ANA,ALL NIPPON,Japan,true,Y,0.3,
Air Navigation And Trading Co. Ltd.,\N,,ANB,AIR NAV,United Kingdom,false,N,0.3,
Anglo Cargo,\N,,ANC,ANGLO,United Kingdom,false,N,0.3,
Air Nostrum,\N,YW,ANE,AIR NOSTRUM,Spain,true,Y,0.3,
Air Niugini,\N,PX,ANG,NUIGINI,Papua New Guinea,true,Y,0.3,
Air Arabia,\N,G9,ABY,ARABIA,United Arab Emirates,true,Y,0.3,
Air Canada,\N,AC,ACA,AIR CANADA,Canada,true,Y,0.3,
Airport Bratsk,\N,,BRP,AEROBRA,Russia,false,N,0.3,
Air Wings,\N,,BSB,ARBAS,Moldova,false,N,0.3,
Air Baltic,\N,BT,BTI,AIRBALTIC,Latvia,true,Y,0.3,
Alajnihah for Air Transport,\N,,ANH,ALAJNIHAH,Libya,false,N,0.3,
Air Atlantic (Nig) Limited,\N,,ANI,NIGALANTIC,Nigeria,false,N,0.3,
Air Nippon,\N,EL,ANK,ANK AIR,Japan,true,Y,0.3,
Antares Airtransport,\N,,ANM, Maintenance & Service GmbH,ANTARES,false,N,0.3,
Airnorth,\N,TL,ANO,TOPEND,Australia,true,Y,0.3,
Aerol,\N,,ANQ,ANTIOQUIA,Colombia,false,N,0.3,
Andes Lineas Aereas,\N,,ANS,AEROANDES,Argentina,false,N,0.3,
Air North Charter - Canada,\N,4N,ANT,AIR NORTH,Canada,true,Y,0.3,
Air Nevada,\N,,ANV,AIR NEVADA,United States,false,N,0.3,
AOM French Airlines,\N,IW,AOM,French Lines,France,false,N,0.3,
Aviacion Del Noroeste,\N,,ANW, S.A. de C.V.,AVINOR,false,N,0.3,
Air New Zealand,\N,NZ,ANZ,NEW ZEALAND,New Zealand,true,Y,0.3,
Avia Jaynar,\N,,SAP,TOBOL,Kazakhstan,false,N,0.3,
Aero Servicios Empresariales,\N,,EMS,SERVIEMPRESARIAL,Mexico,false,N,0.3,
Alcon Servicios Aereos,\N,,AOA, S.A. de C.V.,ALCON,false,N,0.3,
AVCOM,\N,J6,AOC,AERO AVCOM,Russia,false,N,0.3,
